0:0:1	SuperLAN-2U
0:0:10	Hughes LAN Systems (formerly Sytek)
0:0:11	Tektronix
0:0:15	Datapoint Corporation
0:0:18	Webster Computer Corporation	Appletalk/Ethernet Gateway
0:0:1a	AMD (?)
0:0:1b	Novell (now Eagle Technology)
0:0:1c	JDR Microdevices	generic, NE2000 drivers
0:0:1d	Cabletron
0:0:1f	Cryptall Communications Corp.
0:0:2	BBN (was internal usage only, no longer used)
0:0:20	DIAB (Data Intdustrier AB)
0:0:21	SC&C (PAM Soft&Hardware also reported)
0:0:22	Visual Technology
0:0:23	ABB Automation AB, Dept. Q
0:0:24	Olicom
0:0:29	IMC
0:0:2a	TRW
0:0:2c	NRC - Network Resources Corporation - MultiGate Hub1+, Hub2, etc
0:0:32	GPT Limited (reassigned from GEC Computers Ltd)
0:0:37	Oxford Metrics Ltd
0:0:3b	Hyundai/Axil		Sun Sparc Station 2 clone
0:0:3c	Auspex
0:0:3d	AT&T
0:0:3f	Syntrex Inc
0:0:44	Castelle
0:0:46	ISC-Bunker Ramo, An Olivetti Company
0:0:48	Epson
0:0:49	Apricot Ltd.
0:0:4b	APT	-ICL also reported
0:0:4c	NEC Corporation
0:0:4f	Logicraft 386-Ware P.C. Emulator
0:0:51	Hob Electronic Gmbh & Co. KG
0:0:52	Optical Data Systems
0:0:55	AT&T
0:0:58	Racore Computer Products Inc
0:0:5a	SK	(Schneider & Koch in Europe and Syskonnect outside of Europe)
0:0:5a	Xerox 806 (unregistered)
0:0:5b	Eltec
0:0:5d	RCE
0:0:5e	U.S. Department of Defense (IANA)
0:0:5f	Sumitomo
0:0:61	Gateway Communications
0:0:62	Honeywell
0:0:63	Hewlett-Packard		LanProbe
0:0:64	Yokogawa Digital Computer Corp
0:0:65	Network General
0:0:66	Talaris
0:0:68	Rosemount Controls
0:0:69	Concord Communications, Inc (although someone said Silicon Graphics)
0:0:6b	MIPS
0:0:6d	Case
0:0:6e	Artisoft, Inc.
0:0:6f	Madge Networks Ltd
0:0:6f	Madge Networks Ltd.		Token-ring adapters
0:0:73	DuPont
0:0:75	Bell Northern Research (BNR)
0:0:77	Interphase		[Used in other systems, e.g. MIPS, Motorola]
0:0:78	Labtam Australia
0:0:79	Networth Incorporated	[bought by Compaq, used in Netelligent series]
0:0:7a	Ardent
0:0:7b	Research Machines
0:0:7d	Cray Research Superservers,Inc		[Also Harris (3M) (old)]
0:0:7e	NetFRAME multiprocessor network servers
0:0:7f	Linotype-Hell AG		Linotronic typesetters
0:0:80	Cray Communications (formerly Dowty Network Services)	[Also shows as "Harris (3M) (new)" and/or "Imagen(?)" elsewhere]
0:0:81	Synoptics
0:0:83	Tadpole Technology  [had Optical Data Systems which is wrong according to both]
0:0:84	Aquila (?), ADI Systems Inc.(?)
0:0:86	Gateway Communications Inc. (also Megahertz Corporation?)
0:0:87	Hitachi
0:0:89	Cayman Systems			Gatorbox
0:0:8a	Datahouse Information Systems
0:0:8e	Solbourne(?), Jupiter(?) (I've had confirming mail on Solbourne)
0:0:9	powerpipes?
0:0:92	Unisys, Cogent (both reported)
0:0:93	Proteon
0:0:94	Asante				MAC
0:0:95	Sony/Tektronix
0:0:97	Epoch
0:0:98	Cross Com
0:0:99	Memorex Telex Corporations
0:0:9f	Ameristar Technology
0:0:a0	Sanyo Electronics
0:0:a2	Wellfleet
0:0:a3	Network Application Technology (NAT)
0:0:a4	Acorn
0:0:a5	Compatible Systems Corporation
0:0:a6	Network General (internal assignment, not for products)
0:0:a7	Network Computing Devices (NCD)	X-terminals
0:0:a8	Stratus Computer, Inc.
0:0:a9	Network Systems
0:0:aa	Xerox				Xerox machines
0:0:ac	Conware Netzpartner		[had Apollo, claimed incorrect]
0:0:ae	Dassault Automatismes et Telecommunications
0:0:af	Nuclear Data			Acquisition Interface Modules (AIM)
0:0:b0	RND (RAD Network Devices)
0:0:b1	Alpha Microsystems Inc.
0:0:b3	CIMLinc
0:0:b4	Edimax
0:0:b5	Datability			Terminal Servers
0:0:b6	Micro-matic Research
0:0:b7	Dove				Fastnet
0:0:bb	TRI-DATA Systems Inc.		Netway products, 3274 emulators
0:0:bc	Allen-Bradley
0:0:c	Cisco
0:0:c0	Western Digital now SMC (Std. Microsystems Corp.)
0:0:c1	Olicom A/S
0:0:c5	Farallon Computing Inc
0:0:c6	HP Intelligent Networks Operation (formerly Eon Systems)
0:0:c8	Altos
0:0:c9	Emulex				Terminal Servers, Print Servers
0:0:ca	LANcity Cable Modems (now owned by BayNetworks)
0:0:cc	Densan Co., Ltd.
0:0:cd	Industrial Research Limited
0:0:d0	Develcon Electronics, Ltd.
0:0:d1	Adaptec, Inc.			"Nodem" product
0:0:d2	SBE Inc
0:0:d3	Wang Labs
0:0:d4	PureData
0:0:d7	Dartmouth College (NED Router)
